year,country,area_harvested_1000ha,imports_1000mt,exports_1000mt,ending_stocks_1000mt,yoy_exports_pct,yoy_stocks_pct,psd_production_1000mt,owid_production_tonnes,divergence_pct,divergence_flag,enso_analog_flag,provenance
2001,NGA,,,,,,,,340000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2001
2002,NGA,,,,,,,,362000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2002
2003,NGA,,,,,,,,385000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2003
2004,NGA,,,,,,,,412000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2004
2005,NGA,,,,,,,,441000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2005
2006,NGA,,,,,,,,485000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2006
2007,NGA,,,,,,,,360570.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2007
2008,NGA,,,,,,,,367020.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2008
2009,NGA,,,,,,,,363510.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2009
2010,NGA,,,,,,,,399200.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2010
2011,NGA,,,,,,,,391000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2011
2012,NGA,,,,,,,,383000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2012
2013,NGA,,,,,,,,367000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2013
2014,NGA,,,,,,,,329870.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2014
2015,NGA,,,,,,,,302066.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2015
2016,NGA,,,,,,,,298029.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2016
2017,NGA,,,,,,,,250000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2017
2018,NGA,,,,,,,,270000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2018
2019,NGA,,,,,,,,250000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2019
2020,NGA,,,,,,,,357608.25,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2020
2021,NGA,,,,,,,,280000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2021
2022,NGA,,,,,,,,300000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2022
2023,NGA,,,,,,,,350000.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2023
2024,NGA,,,,,,,,350000.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=NI year=2024
2000,BRA,,,,,,,,196788.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2000
2001,BRA,,,,,,,,185662.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2001
2002,BRA,,,,,,,,174796.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2002
2003,BRA,,,,,,,,170004.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2003
2004,BRA,,,,,,,,196005.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2004
2005,BRA,,,,,,,,208620.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2005
2006,BRA,,,,,,,,212270.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2006
2007,BRA,,,,,,,,201651.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2007
2008,BRA,,,,,,,,202030.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2008
2009,BRA,,,,,,,,218487.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2009
2010,BRA,,,,,,,,235389.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2010
2011,BRA,,,,,,,,248524.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2011
2012,BRA,,,,,,,,253211.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2012
2013,BRA,,,,,,,,256186.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2013
2014,BRA,,,,,,,,273793.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2014
2015,BRA,,,,,,,,278299.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2015
2016,BRA,,,,,,,,213871.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2016
2017,BRA,,,,,,,,235809.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2017
2018,BRA,,,,,,,,239318.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2018
2019,BRA,,,,,,,,259451.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2019
2020,BRA,,,,,,,,269740.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2020
2021,BRA,,,,,,,,302126.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2021
2022,BRA,,,,,,,,301026.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2022
2023,BRA,,,,,,,,296114.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2023
2024,BRA,,,,,,,,297509.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=BR year=2024
